order_number,order_date,total_amount,vendor,destination_dc_code
PO-2023-000076,2023-09-03,1675329.05,Cisco Systems,DC-US001
PO-2023-000077,2023-08-26,94988.61,Cisco Systems,DC-IE003
PO-2023-000078,2023-03-13,361813.48,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000079,2023-07-18,407522.84,Cisco Systems,DC-JP001
PO-2023-000080,2023-02-22,64871.23,Eaton Corporation,DC-UK001
PO-2023-000081,2023-05-21,92174.6,Cisco Systems,DC-CA001
PO-2023-000082,2023-02-06,2865.76,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000083,2023-11-24,85696.78,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000084,2023-11-05,216440.79,HPE (Hewlett Packard Enterprise),DC-US011
PO-2023-000085,2023-05-05,34074.06,Supermicro,DC-BR003
PO-2023-000086,2023-11-20,363425.63,Supermicro,DC-US001
PO-2023-000087,2023-09-02,476321.38,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-000088,2023-12-19,1782498.81,Cisco Systems,DC-BR001
PO-2023-000089,2023-08-23,862544.03,Cisco Systems,DC-SG001
PO-2023-000090,2023-03-12,55715.44,HPE (Hewlett Packard Enterprise),DC-US016
PO-2023-000091,2023-10-15,255952.74,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000092,2023-10-04,69673.78,Dell Technologies,DC-FR001
PO-2023-000093,2023-11-25,871191.17,Lenovo,DC-UK001
PO-2023-000094,2023-03-13,66796.15,Cisco Systems,DC-AU002
PO-2023-001037,2023-02-17,6492.35,Pure Storage,DC-CA001
PO-2023-000096,2023-11-15,312042.22,Super Micro Computer,DC-SG001
PO-2023-000097,2023-03-14,87149.04,Eaton Corporation,DC-DE001
PO-2023-000098,2023-10-07,7577.61,HPE (Hewlett Packard Enterprise),DC-US011
PO-2023-000099,2023-10-24,3009152.23,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-000100,2023-09-02,76694.09,Arista Networks,DC-SG003
PO-2023-000101,2023-08-15,169374.13,Cisco Systems,DC-US008
PO-2023-000102,2023-02-03,9950.92,Lenovo,DC-US010
PO-2023-000103,2023-10-24,2688260.4,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000104,2023-12-16,595346.35,Cisco Systems,DC-IN002
PO-2023-000105,2023-06-12,80320.32,Cisco Systems,DC-JP001
PO-2023-000106,2023-06-21,111648.55,Lenovo,DC-DE001
PO-2023-000107,2023-03-27,704146.24,Cisco Systems,DC-US001
PO-2023-000108,2023-07-09,152264.93,Dell Technologies,DC-NL001
PO-2023-000109,2023-10-21,653301.75,Super Micro Computer,DC-CA001
PO-2023-000110,2023-09-20,194044.03,Cisco Systems,DC-US003
PO-2023-000111,2023-10-12,389948.38,Cisco Systems,DC-NL003
PO-2023-000112,2023-02-01,865204.71,Cisco Systems,DC-US001
PO-2023-000113,2023-06-07,173097.71,Lenovo,DC-BR002
PO-2023-000114,2023-02-12,91912.12,Juniper Networks,DC-UK001
PO-2023-000115,2023-10-21,106385.4,HPE (Hewlett Packard Enterprise),DC-US007
PO-2023-000116,2023-09-08,32018.51,Dell Technologies,DC-US009
PO-2023-000117,2023-01-19,392385.59,Dell Technologies,DC-US001
PO-2023-000118,2023-05-05,4553.61,IBM,DC-US012
PO-2023-000119,2023-01-27,30998.18,Super Micro Computer,DC-US006
PO-2023-000120,2023-06-23,52382.6,Cisco Systems,DC-BR001
PO-2023-000121,2023-07-01,215879.99,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000122,2023-03-21,30497.48,Eaton Corporation,DC-DE001
PO-2023-000123,2023-11-15,30393.39,NetApp,DC-DE002
PO-2023-000124,2023-10-17,2721362.36,Dell Technologies,DC-IN002
PO-2023-000125,2023-12-13,117250.76,Dell Technologies,DC-IE006
PO-2023-000126,2023-08-08,1377715.3,Cisco Systems,DC-NL001
PO-2023-000127,2023-01-21,523289.83,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000128,2023-12-04,1561457.17,Dell Technologies,DC-NL001
PO-2023-000129,2023-12-01,396.58,Schneider Electric,DC-CA001
PO-2023-000399,2023-01-24,30408.31,Eaton Corporation,DC-US012
PO-2023-000131,2023-07-23,35424.87,Eaton Corporation,DC-DE001
PO-2023-000041,2023-12-10,1187893.63,Cisco Systems,DC-US002
PO-2023-000133,2023-06-21,351451.0,Supermicro,DC-JP001
PO-2023-000134,2023-01-10,818473.65,Cisco Systems,DC-JP001
PO-2023-000135,2023-10-06,103900.9,Dell Technologies,DC-US008
PO-2023-000136,2023-05-23,122256.65,Cisco Systems,DC-IE001
PO-2023-000137,2023-04-09,372590.73,Cisco Systems,DC-US003
PO-2023-000138,2023-12-17,93374.99,Cisco Systems,DC-NL001
PO-2023-000139,2023-09-26,239009.76,Super Micro Computer,DC-DE001
PO-2023-000140,2023-10-03,4233.88,Vertiv,DC-US003
PO-2023-000141,2023-11-12,191073.8,HPE (Hewlett Packard Enterprise),DC-US005
PO-2023-000142,2023-11-23,326833.71,Cisco Systems,DC-US001
PO-2023-000143,2023-09-04,528088.3,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000144,2023-03-21,32991.78,Vertiv,DC-JP001
PO-2023-000145,2023-11-18,283761.9,HPE (Hewlett Packard Enterprise),DC-IN002
PO-2023-000146,2023-04-08,8202.12,Dell Technologies,DC-JP001
PO-2023-000147,2023-05-15,235909.04,HPE (Hewlett Packard Enterprise),DC-US013
PO-2023-000148,2023-10-21,161542.03,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-000149,2023-10-05,149933.41,HPE (Hewlett Packard Enterprise),DC-IE005
PO-2023-000150,2023-06-17,33683.57,Lenovo,DC-NL001
PO-2023-000151,2023-09-05,53936.36,Juniper Networks,DC-UK001
PO-2023-000152,2023-07-01,69512.11,Cisco Systems,DC-BR001
PO-2023-000153,2023-03-17,48301.79,Super Micro Computer,DC-US017
PO-2023-000154,2023-01-20,37552.58,Super Micro Computer,DC-BR001
PO-2023-000155,2023-06-17,171715.27,Dell Technologies,DC-DE001
PO-2023-000156,2023-04-12,260467.32,Dell Technologies,DC-US003
PO-2023-000157,2023-10-05,1790189.51,Dell Technologies,DC-UK002
PO-2023-000158,2023-12-21,681258.36,Dell Technologies,DC-JP001
PO-2023-000159,2023-01-09,10748.79,Lenovo,DC-US015
PO-2023-000160,2023-09-15,2527.81,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-000161,2023-05-20,197845.29,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-000162,2023-08-10,433.94,Schneider Electric,DC-US002
PO-2023-000163,2023-02-21,1283130.62,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000164,2023-01-14,358666.78,Dell Technologies,DC-CA001
PO-2023-000165,2023-11-23,249592.27,Dell Technologies,DC-BR001
PO-2023-000166,2023-06-03,267427.85,Dell Technologies,DC-CA001
PO-2023-000167,2023-07-14,258932.83,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000168,2023-06-17,217222.68,Dell Technologies,DC-BR001
PO-2023-000169,2023-11-28,203025.74,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-000170,2023-02-15,209469.65,Dell Technologies,DC-UK001
PO-2023-000171,2023-07-07,350907.84,Lenovo,DC-UK001
PO-2023-000172,2023-09-19,83854.16,Pure Storage,DC-NL001
PO-2023-000173,2023-11-22,68023.67,Vertiv,DC-CA001
PO-2023-000174,2023-10-19,191.05,Dell Technologies,DC-US003
PO-2023-000175,2023-11-17,97161.4,Cisco Systems,DC-US001
PO-2023-002017,2023-12-21,1930446.13,Lenovo,DC-BR003
PO-2023-000177,2023-01-06,117618.19,Dell Technologies,DC-JP001
PO-2023-000178,2023-11-22,330058.22,Dell Technologies,DC-DE001
PO-2023-000179,2023-03-28,2241336.5,Cisco Systems,DC-US001
PO-2023-000180,2023-10-27,158194.31,Dell Technologies,DC-UK001
PO-2023-000181,2023-11-14,51433.34,Pure Storage,DC-DE003
PO-2023-000182,2023-02-11,462781.57,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000183,2023-02-22,73.3,Pure Storage,DC-NL001
PO-2023-000184,2023-06-19,48241.34,Pure Storage,DC-NL001
PO-2023-000185,2023-02-16,407639.1,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000186,2023-02-06,1796.56,IBM,DC-IN002
PO-2023-000187,2023-11-13,1773.78,Dell Technologies,DC-BR004
PO-2023-000188,2023-10-23,694953.78,HPE (Hewlett Packard Enterprise),DC-US004
PO-2023-000189,2023-05-08,114021.16,Lenovo,DC-US003
PO-2023-000190,2023-06-24,211241.69,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000191,2023-09-19,196492.65,HPE (Hewlett Packard Enterprise),DC-US006
PO-2023-000192,2023-03-25,245630.54,Lenovo,DC-US007
PO-2023-000193,2023-12-25,179045.71,Cisco Systems,DC-AU002
PO-2023-000194,2023-09-03,654346.16,Cisco Systems,DC-IE002
PO-2023-000195,2023-12-24,3049.53,Dell Technologies,DC-US001
PO-2023-000196,2023-07-18,186069.49,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000197,2023-04-20,1023246.82,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-000198,2023-09-08,121242.12,Lenovo,DC-IE002
PO-2023-000199,2023-08-18,47672.41,Cisco Systems,DC-JP001
PO-2023-000200,2023-12-27,477075.31,HPE (Hewlett Packard Enterprise),DC-JP002
PO-2023-000201,2023-12-15,92190.94,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000202,2023-10-08,500437.26,Super Micro Computer,DC-JP001
PO-2023-000203,2023-09-25,37985.0,Pure Storage,DC-US002
PO-2023-000204,2023-12-08,998244.12,Lenovo,DC-JP001
PO-2023-000205,2023-11-22,135352.54,Cisco Systems,DC-CA001
PO-2023-000206,2023-01-03,10848.44,Dell Technologies,DC-US003
PO-2023-000207,2023-06-14,114149.06,Dell Technologies,DC-US002
PO-2023-000208,2023-02-05,292210.74,Cisco Systems,DC-US002
PO-2023-000209,2023-07-23,152922.39,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000210,2023-10-14,128884.44,Dell Technologies,DC-IE001
PO-2023-000211,2023-11-07,157439.53,HPE (Hewlett Packard Enterprise),DC-US016
PO-2023-000212,2023-05-24,160545.27,Dell Technologies,DC-IN001
PO-2023-000213,2023-11-02,146286.04,HPE (Hewlett Packard Enterprise),DC-CA001
PO-2023-000214,2023-12-07,9622.92,Lenovo,DC-BR001
PO-2023-000215,2023-10-21,57697.84,Cisco Systems,DC-BR001
PO-2023-000216,2023-03-21,76051.48,Cisco Systems,DC-IE005
PO-2023-000217,2023-02-04,33867.7,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000218,2023-04-09,405734.23,Dell Technologies,DC-JP001
PO-2023-000219,2023-02-20,34835.19,Vertiv,DC-SG001
PO-2023-000220,2023-03-19,480445.16,Dell Technologies,DC-US009
PO-2023-000221,2023-12-18,303619.39,HPE (Hewlett Packard Enterprise),DC-UK001
PO-2023-000222,2023-11-13,571020.73,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000223,2023-08-26,788582.69,Cisco Systems,DC-CA001
PO-2023-000224,2023-06-25,5726.41,Super Micro Computer,DC-SG002
PO-2023-000225,2023-11-02,307772.74,Cisco Systems,DC-IE002
PO-2023-000226,2023-02-23,89484.42,Super Micro Computer,DC-DE001
PO-2023-000227,2023-10-15,367504.3,HP Enterprise,DC-DE001
PO-2023-000228,2023-01-20,99835.95,Schneider Electric,DC-SG002
PO-2023-000229,2023-06-11,131079.07,Lenovo,DC-CA001
PO-2023-000230,2023-11-19,356304.65,Dell Technologies,DC-CA001
PO-2023-000231,2023-08-22,98980.46,Super Micro Computer,DC-NL001
PO-2023-000232,2023-09-22,655465.8,Cisco Systems,DC-IE001
PO-2023-000233,2023-10-17,907797.8,Dell Technologies,DC-US014
PO-2023-000234,2023-11-03,132720.28,Super Micro Computer,DC-US003
PO-2023-000235,2023-07-22,765641.29,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-000236,2023-08-05,42962.45,Schneider Electric,DC-DE001
PO-2023-000237,2023-12-15,137921.91,Dell Technologies,DC-SG003
PO-2023-000238,2023-04-04,267325.17,Cisco Systems,DC-US003
PO-2023-000239,2023-07-14,26635.46,Dell Technologies,DC-JP001
PO-2023-000240,2023-10-27,1571.84,Arista Networks,DC-NL001
PO-2023-000241,2023-12-19,444745.74,Dell Technologies,DC-US003
PO-2023-000242,2023-09-24,1199.97,Vertiv,DC-CA001
PO-2023-000243,2023-06-16,712673.74,Lenovo,DC-DE001
PO-2023-000244,2023-06-24,699325.53,Cisco Systems,DC-JP001
PO-2023-000245,2023-11-23,160733.28,Super Micro Computer,DC-US002
PO-2023-000246,2023-10-23,179206.75,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000247,2023-12-09,509651.24,Dell Technologies,DC-BR001
PO-2023-000248,2023-08-17,98549.0,Dell Technologies,DC-US003
PO-2023-000249,2023-11-16,61433.13,HPE (Hewlett Packard Enterprise),DC-JP001
PO-2023-000250,2023-02-13,17900.94,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000251,2023-04-24,146969.79,Cisco Systems,DC-CA001
PO-2023-000252,2023-04-10,969210.11,Lenovo,DC-CA001
PO-2023-000253,2023-01-04,587093.25,Dell Technologies,DC-JP001
PO-2023-000254,2023-02-25,27620.75,HP Enterprise,DC-US003
PO-2023-000255,2023-11-07,3150.97,Cisco Systems,DC-CA001
PO-2023-000256,2023-11-03,160383.35,Cisco Systems,DC-BR004
PO-2023-000257,2023-11-15,564123.17,Dell Technologies,DC-US004
PO-2023-000258,2023-10-22,271124.4,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000259,2023-10-04,42359.85,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000260,2023-10-05,450578.46,Dell Technologies,DC-US001
PO-2023-000261,2023-01-01,74428.46,NetApp,DC-IE001
PO-2023-000262,2023-12-16,640388.61,Dell Technologies,DC-US001
PO-2023-000263,2023-12-19,681446.35,Dell Technologies,DC-US001
PO-2023-003430,2023-11-09,341771.25,Cisco Systems,DC-US017
PO-2023-000265,2023-01-23,456431.91,Dell Technologies,DC-US009
PO-2023-000266,2023-09-22,105529.24,Dell Technologies,DC-BR001
PO-2023-000267,2023-08-17,82681.57,Schneider APC,DC-US001
PO-2023-000268,2023-01-16,50853.93,Dell Technologies,DC-US001
PO-2023-000269,2023-08-11,30429.26,Juniper Networks,DC-DE001
PO-2023-000270,2023-03-01,409317.47,Dell Technologies,DC-US003
PO-2023-003352,2023-01-10,6572.84,Lenovo,DC-BR001
PO-2023-000272,2023-11-14,19551.3,Super Micro Computer,DC-BR001
PO-2023-000273,2023-12-12,45731.74,Dell Technologies,DC-US010
PO-2023-000274,2023-07-16,143164.48,Lenovo,DC-IE001
PO-2023-000275,2023-03-14,83417.08,IBM,DC-IE001
PO-2023-000276,2023-12-27,140695.75,Lenovo,DC-US012
PO-2023-000277,2023-10-03,225096.02,Cisco Systems,DC-NL001
PO-2023-000278,2023-02-22,539894.37,Dell Technologies,DC-US007
PO-2023-001646,2023-09-09,135292.01,HPE (Hewlett Packard Enterprise),DC-BR001
PO-2023-000280,2023-11-20,341068.23,Dell Technologies,DC-NL001
PO-2023-000281,2023-06-10,4803.55,Dell Technologies,DC-DE002
PO-2023-000282,2023-10-14,8335.48,Cisco Systems,DC-US015
PO-2023-000283,2023-07-07,211799.21,Cisco Systems,DC-DE001
PO-2023-000284,2023-06-24,70441.36,Lenovo,DC-NL002
PO-2023-000285,2023-07-16,106658.46,HPE (Hewlett Packard Enterprise),DC-US003
PO-2023-000286,2023-12-26,1578818.82,Dell Technologies,DC-BR001
PO-2023-000287,2023-09-05,176107.51,Dell Technologies,DC-BR001
PO-2023-000288,2023-01-12,32727.74,Lenovo,DC-US012
PO-2023-000289,2023-07-04,652927.51,HPE (Hewlett Packard Enterprise),DC-IE006
PO-2023-000290,2023-11-18,1577729.75,Cisco Systems,DC-IE001
PO-2023-000291,2023-07-21,241947.03,HPE (Hewlett Packard Enterprise),DC-US001
PO-2023-000292,2023-11-28,700440.22,HPE (Hewlett Packard Enterprise),DC-DE002
PO-2023-000293,2023-07-21,5075.42,Cisco Systems,DC-US005
PO-2023-000294,2023-08-15,138479.84,Dell Technologies,DC-JP001
PO-2023-000295,2023-11-23,888228.82,Dell Technologies,DC-US002
PO-2023-000296,2023-04-05,213322.73,HP Enterprise,DC-NL001
PO-2023-000297,2023-12-24,24431.32,Arista Networks,DC-IE004
PO-2023-000298,2023-03-19,37214.75,Super Micro Computer,DC-IE001
PO-2023-000299,2023-11-27,204398.5,Cisco Systems,DC-US001
PO-2023-000300,2023-04-25,460871.92,HP Enterprise,DC-US001
PO-2023-000301,2023-10-07,1520177.92,Dell Technologies,DC-IE006
PO-2023-000302,2023-08-10,245893.4,Cisco Systems,DC-UK001
PO-2023-000303,2023-10-25,406966.9,Cisco Systems,DC-US001
PO-2023-000304,2023-08-20,33553.72,Lenovo,DC-US003
PO-2023-000305,2023-11-23,332783.13,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-000306,2023-10-22,342909.3,Cisco Systems,DC-DE001
PO-2023-001578,2023-12-07,280522.71,Lenovo,DC-DE001
PO-2023-000308,2023-11-20,289195.17,Cisco Systems,DC-AU002
PO-2023-000309,2023-09-20,1406054.99,Dell Technologies,DC-JP001
PO-2023-000310,2023-01-05,414200.1,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-000311,2023-10-22,967374.36,Dell Technologies,DC-IE001
PO-2023-000312,2023-10-17,142756.6,Lenovo,DC-US008
PO-2023-000313,2023-10-25,92630.78,NetApp,DC-JP001
PO-2023-000314,2023-08-01,237944.55,Cisco Systems,DC-UK001
PO-2023-000315,2023-10-24,1885.07,IBM,DC-JP001
PO-2023-000316,2023-10-11,2179.27,Cisco Systems,DC-IE003
PO-2023-000317,2023-11-12,154231.34,Dell Technologies,DC-BR001
PO-2023-000318,2023-12-16,112386.89,Dell Technologies,DC-BR003
PO-2023-000319,2023-08-20,376031.45,Lenovo,DC-BR003
PO-2023-000320,2023-09-17,435232.9,Dell Technologies,DC-IE001
PO-2023-000321,2023-05-04,99644.7,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000322,2023-11-04,7593.58,Schneider Electric,DC-DE003
PO-2023-000323,2023-09-13,95547.79,Cisco Systems,DC-UK001
PO-2023-000324,2023-11-04,167250.67,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000325,2023-07-22,10913.08,Arista Networks,DC-JP001
PO-2023-000326,2023-10-04,1046921.73,Cisco Systems,DC-SG003
PO-2023-000327,2023-12-08,76502.5,Arista Networks,DC-IE005
PO-2023-000328,2023-10-08,260901.41,Cisco Systems,DC-DE001
PO-2023-000329,2023-11-21,695931.66,HPE (Hewlett Packard Enterprise),DC-US005
PO-2023-000330,2023-10-14,161397.11,HPE (Hewlett Packard Enterprise),DC-US002
PO-2023-000331,2023-02-02,158677.2,HP Enterprise,DC-JP001
PO-2023-000332,2023-12-18,549716.19,Dell Technologies,DC-CA001
PO-2023-000333,2023-10-16,583977.79,Cisco Systems,DC-US009
PO-2023-000334,2023-12-24,418944.47,HPE (Hewlett Packard Enterprise),DC-NL001
PO-2023-000335,2023-03-25,330373.18,Super Micro Computer,DC-JP001
PO-2023-000336,2023-08-01,71513.05,Dell Technologies,DC-US001
PO-2023-000337,2023-11-15,641395.75,Cisco Systems,DC-DE001
PO-2023-000338,2023-08-23,552864.86,Cisco Systems,DC-UK001
PO-2023-000339,2023-09-10,229.2,HPE (Hewlett Packard Enterprise),DC-SG001
PO-2023-000340,2023-03-08,182183.7,Cisco Systems,DC-JP001
PO-2023-000341,2023-06-06,175688.41,Dell Technologies,DC-NL001
PO-2023-000342,2023-08-10,38310.97,Cisco Systems,DC-US003
PO-2023-000343,2023-02-05,8628.92,HPE (Hewlett Packard Enterprise),DC-US011
PO-2023-000344,2023-12-16,778260.63,Cisco Systems,DC-NL002
PO-2023-000345,2023-06-20,41926.11,Pure Storage,DC-US001
PO-2023-000346,2023-10-11,110136.76,Dell Technologies,DC-US002
PO-2023-000347,2023-12-14,72768.85,Pure Storage,DC-US003
PO-2023-000348,2023-11-24,236125.75,Cisco Systems,DC-CA001
PO-2023-000349,2023-06-08,113766.05,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-000350,2023-08-07,3562415.87,HPE (Hewlett Packard Enterprise),DC-DE001
PO-2023-000351,2023-12-12,2416.62,Lenovo,DC-BR001
PO-2023-000352,2023-07-10,5540.54,Dell Technologies,DC-CA001
PO-2023-000353,2023-07-16,68945.58,Vertiv,DC-BR001
PO-2023-000354,2023-03-03,177521.46,Lenovo,DC-US001
PO-2023-000355,2023-03-01,30983.91,Eaton Corporation,DC-US010
PO-2023-000356,2023-06-25,1925276.09,Cisco Systems,DC-NL001
PO-2023-000357,2023-05-06,8666.33,HPE (Hewlett Packard Enterprise),DC-IE003
PO-2023-000358,2023-03-10,511064.99,Dell Technologies,DC-UK001
PO-2023-000359,2023-06-04,738920.31,Dell Technologies,DC-NL001
PO-2023-000360,2023-12-13,904.93,Super Micro Computer,DC-IN003
PO-2023-000361,2023-12-23,695054.66,Cisco Systems,DC-BR004
PO-2023-000362,2023-09-15,242625.01,Lenovo,DC-US002
PO-2023-000363,2023-12-17,505933.7,Cisco Systems,DC-US001
PO-2023-000364,2023-06-11,1417796.76,Cisco Systems,DC-US001
PO-2023-000365,2023-11-02,147565.06,Cisco Systems,DC-AU003
PO-2023-000366,2023-11-27,14627.33,NetApp,DC-IE004
PO-2023-000367,2023-05-08,80128.76,Juniper Networks,DC-DE001
PO-2023-000368,2023-10-14,129440.0,Pure Storage,DC-UK001
PO-2023-000369,2023-10-10,946829.22,HPE (Hewlett Packard Enterprise),DC-FR001
PO-2023-000370,2023-12-10,236356.48,Dell Technologies,DC-UK001
PO-2023-000371,2023-12-04,1082591.28,HPE (Hewlett Packard Enterprise),DC-IE001
PO-2023-000372,2023-12-14,264582.23,Lenovo,DC-JP001
