order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-002808,4,Software License,Red Hat Enterprise Linux,1,10576.08,10576.08
PO-2023-003214,3,Load Balancer,A10 Thunder 3030S,2,55263.84,110527.68
PO-2023-001543,1,Rack,Server Rack 48U,3,3667.29,11001.86
PO-2023-001255,5,Network Switch,ProCurve 5406zl,2,29129.27,58258.54
PO-2023-001790,1,Software License,VMware vSphere,1,2266.72,2266.72
PO-2023-000988,10,Software License,Windows Server 2022,1,68336.68,68336.68
PO-2023-002850,20,UPS,PowerMax 2000,1,24232.21,24232.21
PO-2023-000729,2,Firewall,PA-3220,1,41036.49,41036.49
PO-2023-000030,2,Network Switch,Juniper EX4650,2,45729.14,91458.29
PO-2023-002936,1,Network Switch,ProCurve 5406zl,3,56271.17,168813.52
PO-2023-001938,2,Storage Array,Pure FlashArray//X,4,328027.98,1312111.9
PO-2023-003445,3,Warranty/Support,ProSupport Plus,3,48543.7,145631.1
PO-2023-001070,7,Router,ISR 4451,2,73174.7,146349.4
PO-2023-001986,1,Firewall,PA-3220,4,80990.27,323961.07
PO-2023-001633,2,PDU,Basic Rack PDU,2,2222.47,4444.94
PO-2023-001118,2,Load Balancer,Kemp LoadMaster LM-X15,1,26363.99,26363.99
PO-2023-003468,1,Load Balancer,F5 BIG-IP 4200v,1,98955.98,98955.98
PO-2023-003377,1,Storage Array,VMAX All Flash,2,446621.17,893242.34
PO-2023-002769,5,PDU,Basic Rack PDU,2,2579.23,5158.47
PO-2023-001770,2,Cooling Unit,CoolIT Direct2Die,1,68834.0,68834.0
PO-2023-003371,1,Software License,Red Hat Enterprise Linux,4,37324.3,149297.18
PO-2023-002367,2,Storage Array,Pure FlashArray//X,1,80259.47,80259.47
PO-2023-002625,10,Cooling Unit,Liebert XD,2,28248.62,56497.24
PO-2023-001451,3,Load Balancer,Citrix ADC VPX,1,76519.41,76519.41
PO-2023-003401,1,Router,MX480,2,98981.0,197962.01
PO-2023-002694,2,Network Switch,Catalyst 9300,1,26044.38,26044.38
PO-2023-003489,5,Optics/Transceivers,SFP 1000BASE-T,4,2253.2,9012.79
PO-2023-000254,6,PDU,Zero U PDU,1,4428.69,4428.69
PO-2023-001877,1,Software License,VMware vSphere,1,10362.53,10362.53
PO-2023-002184,2,Cable,Fiber Optic Cable SC-LC,2,138.04,276.08
PO-2023-002475,1,Firewall,TZ570,2,127335.42,254670.84
PO-2023-002895,1,Router,MX480,2,27093.86,54187.72
PO-2023-000685,2,Network Switch,Arista 7050X3,2,26812.39,53624.79
PO-2023-001486,2,Optics/Transceivers,CFP 100GBASE-LR4,1,4406.39,4406.39
PO-2023-001662,5,Server,PowerEdge R750,1,47716.29,47716.29
PO-2023-003433,2,Cooling Unit,InRow RP 300mm,1,12285.01,12285.01
PO-2023-000241,2,Firewall,FortiGate 600E,1,86204.71,86204.71
PO-2023-001802,6,Load Balancer,Kemp LoadMaster LM-X15,1,15440.7,15440.7
PO-2023-001587,1,Software License,Red Hat Enterprise Linux,1,83194.44,83194.44
PO-2023-003258,11,Warranty/Support,Hardware Replacement,4,18659.32,74637.3
PO-2023-002435,1,Storage Array,VMAX All Flash,1,116190.22,116190.22
PO-2023-002510,3,Cable,Coaxial Cable RG6,1,355.74,355.74
PO-2023-003141,1,Router,ISR 4451,1,19008.88,19008.88
PO-2023-000484,3,Firewall,pfSense SG-5100,2,105554.02,211108.04
PO-2023-001680,5,UPS,Smart-UPS SRT 10000VA,1,47693.71,47693.71
PO-2023-000977,2,Server,PowerEdge R740,9,39343.39,354090.51
PO-2023-000109,7,Warranty/Support,3-Year Next Business Day,1,47813.31,47813.31
PO-2023-001826,1,Network Switch,Catalyst 9300,2,16310.17,32620.34
PO-2023-001444,1,Software License,VMware vSphere,4,70850.26,283401.05
PO-2023-000702,2,Storage Array,Unity XT 480,1,400225.43,400225.43
PO-2023-000393,2,Rack,Server Rack 48U,2,3570.51,7141.02
PO-2023-001645,5,Software License,Microsoft SQL Server,1,16661.8,16661.8
PO-2023-002532,4,Cable,USB 3.0 Cable,2,371.48,742.97
PO-2023-003248,2,PDU,Switched Rack PDU,6,2531.96,15191.74
PO-2023-003058,11,Rack,Server Rack 48U,2,1825.26,3650.53
PO-2023-000581,3,Server,ThinkSystem SR650,2,23708.04,47416.08
PO-2023-001953,4,Cooling Unit,CoolIT Direct2Die,1,24998.93,24998.93
PO-2023-001740,2,Cooling Unit,Liebert XD,3,42161.26,126483.79
PO-2023-002387,2,Warranty/Support,ProSupport Plus,1,3491.63,3491.63
PO-2023-001308,3,Storage Array,VMAX All Flash,1,424354.42,424354.42
PO-2023-000244,3,Network Switch,Nexus 9000,4,6352.06,25408.26
PO-2023-003271,1,PDU,Intelligent PDU,4,4597.71,18390.82
PO-2023-003344,4,Router,SRX5800,1,33244.02,33244.02
PO-2023-001142,2,Load Balancer,Radware Alteon VA,2,31710.08,63420.16
PO-2023-001499,2,Rack,Open Frame Rack 42U,2,4018.09,8036.17
PO-2023-000491,1,Optics/Transceivers,SFP28 25GBASE-SR,1,2259.75,2259.75
PO-2023-000772,2,Storage Array,StorageGRID SG1000,6,287081.67,1722490.02
PO-2023-001901,3,Server,UCS C220 M5,2,45926.91,91853.82
PO-2023-002674,5,Network Switch,Nexus 9000,2,52699.9,105399.79
PO-2023-001971,3,Cable,HDMI Cable 2.1,1,151.5,151.5
PO-2023-002068,1,Load Balancer,Kemp LoadMaster LM-X15,4,85726.98,342907.91
PO-2023-002892,1,Network Switch,ProCurve 5406zl,2,68608.34,137216.69
PO-2023-003374,2,Cooling Unit,CyberAir 3,8,37357.61,298860.88
PO-2023-002141,5,Network Switch,ProCurve 5406zl,2,62494.91,124989.82
PO-2023-002721,2,Server,System x3650 M5,2,47189.4,94378.81
PO-2023-003347,2,Router,SRX5800,1,42480.75,42480.75
PO-2023-000934,1,Firewall,FortiGate 600E,2,47507.72,95015.44
PO-2023-002675,3,Warranty/Support,Hardware Replacement,1,18013.29,18013.29
PO-2023-002017,6,Warranty/Support,3-Year Next Business Day,3,43373.31,130119.93
PO-2023-001819,2,Warranty/Support,3-Year Next Business Day,5,41687.27,208436.33
PO-2023-002735,1,Router,SRX5800,1,35441.86,35441.86
PO-2023-000419,1,Firewall,TZ570,4,18537.99,74151.96
PO-2023-000696,1,Load Balancer,F5 BIG-IP 4200v,1,28847.78,28847.78
PO-2023-000640,1,Cooling Unit,SmartCool Gen4,1,70152.87,70152.87
PO-2023-002861,1,Firewall,ASA 5516-X,2,43200.06,86400.11
PO-2023-000673,2,Router,SRX5800,6,46453.36,278720.18
PO-2023-002850,15,Router,ASR 1001-X,1,40253.89,40253.89
PO-2023-002969,8,Cooling Unit,CoolIT Direct2Die,1,11719.62,11719.62
PO-2023-000757,5,Rack,NetShelter SX 42U,2,1936.3,3872.61
PO-2023-000418,3,Warranty/Support,ProSupport Plus,3,47061.68,141185.04
PO-2023-000639,1,PDU,Basic Rack PDU,1,3364.12,3364.12
PO-2023-002785,3,Warranty/Support,Extended Warranty,2,17497.49,34994.99
PO-2023-001117,2,Storage Array,VMAX All Flash,7,426287.62,2984013.37
PO-2023-002712,1,Network Switch,Nexus 9000,2,14517.38,29034.76
PO-2023-001063,12,Server,ThinkSystem SR650,3,48532.37,145597.11
PO-2023-002308,2,Storage Array,Pure FlashArray//X,1,472269.46,472269.46
PO-2023-000384,7,Software License,VMware vSphere,1,39908.03,39908.03
PO-2023-000063,2,Rack,Wall Mount 12U,1,4315.53,4315.53
PO-2023-001492,1,Firewall,SRX4600,2,102308.65,204617.29
PO-2023-001289,1,UPS,Galaxy 7000,1,26281.41,26281.41
PO-2023-001822,1,PDU,Switched Rack PDU,1,4879.32,4879.32
PO-2023-000377,3,Server,PowerEdge R750,3,5794.03,17382.1
PO-2023-003442,3,PDU,Intelligent PDU,1,3344.58,3344.58
PO-2023-001810,4,Warranty/Support,Hardware Replacement,1,18662.44,18662.44
PO-2023-001286,2,Firewall,FortiGate 600E,1,135721.12,135721.12
PO-2023-000389,7,Cooling Unit,CyberAir 3,3,87568.76,262706.29
PO-2023-003210,2,Warranty/Support,Premium Support,2,40434.55,80869.1
PO-2023-000856,7,Firewall,PA-3220,2,33648.69,67297.38
PO-2023-002894,1,Router,7206 VXR,1,93811.02,93811.02
PO-2023-000161,1,Cooling Unit,Stulz CyberAir,1,32280.38,32280.38
PO-2023-002398,12,Warranty/Support,5-Year 24x7x4,4,14659.48,58637.92
PO-2023-000143,2,Storage Array,Pure FlashArray//X,1,141758.53,141758.53
PO-2023-003369,1,Warranty/Support,3-Year Next Business Day,2,5855.36,11710.72
PO-2023-003105,2,Cooling Unit,InRow RP 300mm,3,80191.31,240573.92
PO-2023-001103,1,Storage Array,VMAX All Flash,1,462024.47,462024.47
PO-2023-001381,1,Cooling Unit,CoolIT Direct2Die,5,61167.55,305837.74
PO-2023-000543,1,Warranty/Support,Hardware Replacement,1,49729.02,49729.02
PO-2023-000213,5,Optics/Transceivers,SFP+ 10GBASE-SR,2,348.05,696.1
PO-2023-002885,3,Cable,USB 3.0 Cable,1,55.47,55.47
PO-2023-001339,4,Load Balancer,Kemp LoadMaster LM-X15,3,69706.39,209119.17
PO-2023-002783,1,Firewall,pfSense SG-5100,2,102895.55,205791.1
PO-2023-001122,4,Cooling Unit,Stulz CyberAir,1,11587.13,11587.13
PO-2023-003396,1,UPS,Galaxy 7000,2,15329.28,30658.57
PO-2023-001997,3,Rack,Server Rack 48U,4,3056.16,12224.64
PO-2023-000656,1,Router,ASR 1001-X,2,52068.62,104137.25
PO-2023-000512,2,Optics/Transceivers,CFP 100GBASE-LR4,1,4890.79,4890.79
PO-2023-003065,2,PDU,Zero U PDU,2,1353.53,2707.05
PO-2023-000300,2,Router,SRX5800,2,41697.33,83394.66
PO-2023-000015,2,Software License,Windows Server 2022,5,23744.85,118724.25
PO-2023-000096,1,UPS,Smart-UPS SRT 10000VA,7,14132.14,98924.96
PO-2023-001493,2,Software License,Red Hat Enterprise Linux,1,11897.37,11897.37
PO-2023-003457,7,Rack,Server Rack 48U,1,3583.92,3583.92
PO-2023-003446,4,Warranty/Support,Premium Support,7,12223.05,85561.38
PO-2023-000034,1,Optics/Transceivers,SFP+ 10GBASE-SR,2,2842.24,5684.48
PO-2023-002414,1,Firewall,ASA 5516-X,2,137193.63,274387.26
PO-2023-000665,1,Load Balancer,A10 Thunder 3030S,1,23354.68,23354.68
PO-2023-001294,1,UPS,RT 11000VA,3,10604.99,31814.98
PO-2023-002148,1,Storage Array,VMAX All Flash,2,175740.65,351481.31
PO-2023-002643,3,Warranty/Support,5-Year 24x7x4,6,8864.0,53183.98
PO-2023-001082,1,Warranty/Support,Premium Support,2,20736.16,41472.33
PO-2023-000459,2,Router,7206 VXR,2,52008.7,104017.41
PO-2023-001810,3,Router,MX480,1,62431.42,62431.42
PO-2023-000540,4,Optics/Transceivers,CFP 100GBASE-LR4,3,3578.53,10735.6
PO-2023-000998,5,Rack,NetShelter SX 42U,1,3929.47,3929.47
PO-2023-001268,2,Load Balancer,HAProxy Enterprise,7,23332.71,163328.97
PO-2023-003058,7,Network Switch,ProCurve 5406zl,2,23602.54,47205.07
PO-2023-000453,4,Warranty/Support,Premium Support,4,20241.67,80966.66
PO-2023-003170,5,Storage Array,Unity XT 480,4,496524.44,1986097.78
PO-2023-000076,1,Network Switch,Arista 7050X3,2,52547.84,105095.68
PO-2023-002172,3,Optics/Transceivers,SFP 1000BASE-T,1,4439.0,4439.0
PO-2023-002672,2,PDU,Metered Rack PDU,3,1675.54,5026.62
PO-2023-002521,2,Firewall,PA-3220,1,94984.82,94984.82
PO-2023-003265,2,Server,System x3650 M5,1,37882.46,37882.46
PO-2023-001957,3,Network Switch,ProCurve 5406zl,2,22575.75,45151.5
PO-2023-000396,2,Cooling Unit,CoolIT Direct2Die,1,64599.54,64599.54
PO-2023-002674,3,Optics/Transceivers,CFP 100GBASE-LR4,6,3518.86,21113.17
PO-2023-001286,3,Software License,Red Hat Enterprise Linux,6,45952.55,275715.31
PO-2023-001781,1,Router,MX480,2,81198.27,162396.54
PO-2023-000326,2,Software License,Red Hat Enterprise Linux,5,23723.84,118619.22
PO-2023-000245,3,Cooling Unit,InRow RP 300mm,1,41989.54,41989.54
PO-2023-003313,5,UPS,Smart-UPS SRT 10000VA,3,30517.27,91551.81
PO-2023-000531,5,Cooling Unit,SmartCool Gen4,2,26164.79,52329.57
PO-2023-000042,4,Network Switch,Arista 7050X3,2,56389.71,112779.42
PO-2023-002519,4,Optics/Transceivers,SFP 1000BASE-T,1,468.53,468.53
PO-2023-002584,2,PDU,Metered Rack PDU,7,600.42,4202.97
PO-2023-001533,2,Warranty/Support,Hardware Replacement,1,31547.52,31547.52
PO-2023-001791,11,Software License,Red Hat Enterprise Linux,2,6955.15,13910.3
PO-2023-002916,4,UPS,RT 11000VA,3,44826.44,134479.32
PO-2023-000135,1,Server,PowerEdge R740,8,10649.76,85198.08
PO-2023-001095,3,Warranty/Support,3-Year Next Business Day,1,2600.32,2600.32
PO-2023-003462,3,Cooling Unit,CyberAir 3,2,40105.81,80211.63
PO-2023-000373,1,Optics/Transceivers,SFP 1000BASE-T,1,525.07,525.07
PO-2023-001795,4,Network Switch,ProCurve 5406zl,2,31988.15,63976.29
PO-2023-000892,4,PDU,Switched Rack PDU,1,2670.24,2670.24
PO-2023-003404,5,Firewall,SRX4600,2,108412.85,216825.7
PO-2023-002110,2,Firewall,SRX4600,2,84891.5,169783.0
PO-2023-003047,1,Load Balancer,HAProxy Enterprise,1,69729.67,69729.67
PO-2023-002752,1,Cable,HDMI Cable 2.1,1,119.33,119.33
PO-2023-002658,1,UPS,PowerMax 2000,3,41168.32,123504.95
PO-2023-003471,3,Server,PowerEdge R750,1,7481.61,7481.61
PO-2023-003180,1,Load Balancer,HAProxy Enterprise,1,26925.41,26925.41
PO-2023-003077,4,Router,MX480,2,19221.94,38443.89
PO-2023-001569,3,Cooling Unit,InRow RP 300mm,1,67260.33,67260.33
PO-2023-001424,2,Server,ThinkSystem SR650,3,16002.35,48007.06
PO-2023-000335,1,Optics/Transceivers,SFP28 25GBASE-SR,1,3171.48,3171.48
PO-2023-002950,1,Cooling Unit,CyberAir 3,3,68290.26,204870.77
PO-2023-001116,12,Optics/Transceivers,CFP 100GBASE-LR4,1,116.48,116.48
PO-2023-002805,11,Optics/Transceivers,SFP+ 10GBASE-SR,2,1895.5,3791.01
PO-2023-003193,1,Server,ProLiant DL380 Gen10,2,37366.55,74733.1
PO-2023-002876,2,UPS,Galaxy 7000,1,34355.14,34355.14
PO-2023-001317,3,Storage Array,StorageGRID SG1000,2,475560.64,951121.28
PO-2023-002303,4,PDU,Switched Rack PDU,1,4590.9,4590.9
PO-2023-001430,1,Optics/Transceivers,SFP+ 10GBASE-SR,1,2749.15,2749.15
PO-2023-000345,1,UPS,RT 11000VA,5,7775.36,38876.78
PO-2023-000420,1,UPS,Galaxy 7000,1,16294.42,16294.42
PO-2023-000465,2,Warranty/Support,5-Year 24x7x4,1,16175.88,16175.88
PO-2023-000486,2,Cooling Unit,CyberAir 3,3,81284.01,243852.04
PO-2023-000088,13,Warranty/Support,3-Year Next Business Day,1,27428.82,27428.82
PO-2023-003120,2,Warranty/Support,Hardware Replacement,6,26450.97,158705.85
PO-2023-002129,1,Load Balancer,Citrix ADC VPX,5,35433.29,177166.46
PO-2023-000494,5,Rack,Server Rack 48U,2,4851.48,9702.96
PO-2023-000849,1,Firewall,TZ570,1,17409.45,17409.45
PO-2023-001794,1,Software License,Windows Server 2022,2,14686.92,29373.84
PO-2023-001878,3,Router,MX480,2,97904.14,195808.28
PO-2023-003009,1,Rack,Open Frame Rack 42U,1,3343.73,3343.73
PO-2023-000933,7,Software License,Oracle Database,2,93814.13,187628.26
PO-2023-001326,1,Network Switch,Catalyst 9300,2,53280.88,106561.76
PO-2023-003388,2,Cooling Unit,SmartCool Gen4,1,42344.33,42344.33
PO-2023-001545,5,Rack,Server Rack 48U,3,4650.85,13952.54
PO-2023-002508,2,Rack,SmartRack 25U,2,4424.11,8848.21
PO-2023-001925,2,Server,PowerEdge R740,2,6285.68,12571.36
PO-2023-002325,5,Router,ASR 1001-X,2,38038.79,76077.59
PO-2023-003213,1,Software License,Windows Server 2022,3,84177.32,252531.96
PO-2023-002832,2,Storage Array,Unity XT 480,6,88976.65,533859.91
PO-2023-000487,7,Cable,Cat6 Ethernet Cable,2,85.86,171.72
PO-2023-001241,9,Router,ISR 4451,1,5004.57,5004.57
PO-2023-001546,3,Cooling Unit,CyberAir 3,2,24209.63,48419.25
PO-2023-000617,7,Storage Array,NetApp FAS2750,3,142618.97,427856.91
PO-2023-003486,6,Cable,USB 3.0 Cable,4,481.26,1925.04
PO-2023-003473,1,Warranty/Support,Premium Support,1,21093.35,21093.35
PO-2023-002813,4,PDU,Intelligent PDU,1,1564.5,1564.5
PO-2023-002873,2,Software License,VMware vSphere,2,174.36,348.71
PO-2023-003249,1,Load Balancer,Citrix ADC VPX,1,56466.53,56466.53
PO-2023-001539,3,Server,ThinkSystem SR650,2,32675.27,65350.53
PO-2023-002759,2,Software License,Oracle Database,3,89793.77,269381.32
PO-2023-001521,1,UPS,OnLine S3 15kVA,2,17346.02,34692.04
PO-2023-002964,4,Storage Array,Pure FlashArray//X,2,262701.22,525402.44
PO-2023-002280,1,Cooling Unit,CoolIT Direct2Die,7,13580.13,95060.89
PO-2023-003138,2,PDU,Basic Rack PDU,1,1257.4,1257.4
PO-2023-001815,4,PDU,Metered Rack PDU,5,4305.28,21526.38
PO-2023-000061,2,Firewall,ASA 5516-X,1,136627.78,136627.78
PO-2023-002368,1,Optics/Transceivers,XFP 10GBASE-ER,1,3987.84,3987.84
PO-2023-002711,1,Firewall,FortiGate 600E,17,140166.82,2382835.94
PO-2023-000017,7,Server,UCS C220 M5,3,22289.08,66867.25
PO-2023-000103,2,Firewall,ASA 5516-X,2,81355.24,162710.49
PO-2023-003041,2,Firewall,PA-3220,2,147244.02,294488.04
PO-2023-003014,2,Storage Array,Unity XT 480,1,368407.01,368407.01
PO-2023-001625,2,PDU,Intelligent PDU,5,1547.0,7734.98
PO-2023-000540,7,Warranty/Support,3-Year Next Business Day,1,19317.43,19317.43
PO-2023-000525,10,Optics/Transceivers,CFP 100GBASE-LR4,2,1076.97,2153.93
PO-2023-001506,4,Server,System x3650 M5,2,45471.48,90942.95
PO-2023-002950,4,Cooling Unit,Liebert XD,2,42206.18,84412.36
PO-2023-002285,6,Warranty/Support,5-Year 24x7x4,1,38753.0,38753.0
PO-2023-000938,1,Optics/Transceivers,XFP 10GBASE-ER,1,1695.66,1695.66
PO-2023-002012,8,Software License,Windows Server 2022,3,33478.52,100435.55
PO-2023-003226,1,Server,System x3650 M5,3,12557.65,37672.94
PO-2023-001815,2,Rack,Server Rack 48U,1,3561.19,3561.19
PO-2023-001722,1,Storage Array,NetApp FAS2750,3,60098.77,180296.31
PO-2023-002723,3,Software License,VMware vSphere,1,84222.71,84222.71
PO-2023-002552,2,Rack,NetShelter SX 42U,1,1606.93,1606.93
PO-2023-001792,1,Cable,HDMI Cable 2.1,7,316.68,2216.75
PO-2023-003096,4,Cable,HDMI Cable 2.1,2,497.28,994.55
PO-2023-000714,2,Warranty/Support,3-Year Next Business Day,1,32836.94,32836.94
PO-2023-000508,11,Cooling Unit,Stulz CyberAir,3,10533.54,31600.62
PO-2023-000547,3,Router,ISR 4451,3,48921.21,146763.62
PO-2023-000364,9,Rack,NetShelter SX 42U,1,2996.68,2996.68
PO-2023-002582,6,Software License,Citrix XenApp,2,1660.18,3320.36
PO-2023-001164,3,Optics/Transceivers,SFP+ 10GBASE-SR,2,771.18,1542.35
PO-2023-002760,1,Router,SRX5800,2,10353.16,20706.32
PO-2023-002817,1,PDU,Zero U PDU,5,2605.96,13029.82
PO-2023-001628,2,Router,RTX1210,2,71053.76,142107.52
PO-2023-001906,1,Storage Array,NetApp FAS2750,5,39437.05,197185.26
PO-2023-002873,6,Router,MX480,1,80877.67,80877.67
PO-2023-001030,2,Router,ISR 4451,2,92805.79,185611.59
PO-2023-002613,3,Router,MX480,2,85718.28,171436.56
PO-2023-000758,1,Cable,USB 3.0 Cable,1,495.63,495.63
PO-2023-000164,1,Server,System x3650 M5,1,12220.82,12220.82
PO-2023-002477,1,UPS,Galaxy 7000,1,26512.61,26512.61
PO-2023-000093,3,Storage Array,StorageGRID SG1000,4,153164.84,612659.37
PO-2023-001559,1,Storage Array,Unity XT 480,1,339039.19,339039.19
PO-2023-000610,3,Warranty/Support,ProSupport Plus,4,16652.85,66611.41
PO-2023-001723,3,Warranty/Support,5-Year 24x7x4,5,47096.35,235481.74
PO-2023-002307,6,Network Switch,PowerConnect 8024F,1,38861.13,38861.13
PO-2023-001951,3,Rack,Server Rack 48U,6,3817.05,22902.28
PO-2023-000757,8,Storage Array,Unity XT 480,1,207450.74,207450.74
PO-2023-001866,1,UPS,RT 11000VA,1,22160.64,22160.64
PO-2023-002064,5,Load Balancer,HAProxy Enterprise,2,55227.53,110455.05
PO-2023-001311,3,Software License,VMware vSphere,3,61139.82,183419.47
PO-2023-000861,2,Warranty/Support,ProSupport Plus,2,24817.75,49635.5
PO-2023-001275,5,Software License,VMware vSphere,1,77709.7,77709.7
PO-2023-001116,8,Storage Array,Pure FlashArray//X,2,452679.42,905358.84
PO-2023-001269,4,Server,PowerEdge R740,2,36617.04,73234.09
PO-2023-002111,15,Network Switch,Nexus 9000,2,60390.67,120781.34
PO-2023-002370,4,Software License,Windows Server 2022,5,77641.58,388207.89
PO-2023-001200,1,Network Switch,Catalyst 9300,1,34845.5,34845.5
PO-2023-000367,1,PDU,Basic Rack PDU,2,2119.05,4238.1
PO-2023-002918,6,Server,ThinkSystem SR650,1,29280.82,29280.82
PO-2023-001170,4,Storage Array,Unity XT 480,3,486841.84,1460525.52
PO-2023-001240,4,UPS,Galaxy 7000,3,34379.29,103137.87
PO-2023-002047,1,PDU,Monitored PDU,2,3796.36,7592.71
PO-2023-002019,3,PDU,Basic Rack PDU,5,3728.31,18641.56
PO-2023-000860,1,Storage Array,Unity XT 480,1,343215.01,343215.01
PO-2023-003433,1,Rack,Server Rack 48U,1,1294.52,1294.52
PO-2023-003208,2,Cable,Fiber Optic Cable SC-LC,5,421.17,2105.84
PO-2023-000112,1,Firewall,FortiGate 600E,2,135347.23,270694.45
PO-2023-002690,9,Cable,HDMI Cable 2.1,2,280.45,560.89
PO-2023-000797,2,PDU,Switched Rack PDU,5,3836.93,19184.65
PO-2023-001458,3,Software License,Citrix XenApp,1,50135.01,50135.01
PO-2023-000024,4,PDU,Basic Rack PDU,3,4528.43,13585.29
PO-2023-001897,2,Warranty/Support,ProSupport Plus,1,38467.73,38467.73
PO-2023-000335,2,Software License,Windows Server 2022,4,81800.43,327201.7
