order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-001829,1,Storage Array,VMAX All Flash,6,405234.43,2431406.61
PO-2023-000743,1,Server,System x3650 M5,6,12727.9,76367.41
PO-2023-001551,7,Storage Array,Unity XT 480,1,88760.23,88760.23
PO-2023-002399,4,Server,UCS C220 M5,2,9273.98,18547.95
PO-2023-002642,2,UPS,RT 11000VA,2,48058.68,96117.35
PO-2023-001239,5,Warranty/Support,Premium Support,3,38925.75,116777.25
PO-2023-002653,9,Optics/Transceivers,XFP 10GBASE-ER,1,4400.23,4400.23
PO-2023-002109,3,PDU,Basic Rack PDU,1,3330.76,3330.76
PO-2023-000879,1,Storage Array,StorageGRID SG1000,2,44246.77,88493.55
PO-2023-001941,2,Software License,Microsoft SQL Server,1,7951.82,7951.82
PO-2023-001548,2,Cooling Unit,Stulz CyberAir,1,64439.06,64439.06
PO-2023-000119,1,Software License,Citrix XenApp,2,15499.09,30998.18
PO-2023-003315,3,Network Switch,Juniper EX4650,2,61282.32,122564.64
PO-2023-002402,1,Storage Array,StorageGRID SG1000,1,108104.39,108104.39
PO-2023-001879,1,Optics/Transceivers,CFP 100GBASE-LR4,1,3531.03,3531.03
PO-2023-002282,1,Load Balancer,Kemp LoadMaster LM-X15,2,37799.13,75598.26
PO-2023-001974,1,Warranty/Support,ProSupport Plus,4,32549.25,130196.99
PO-2023-002500,2,UPS,Smart-UPS SRT 10000VA,1,8788.61,8788.61
PO-2023-002497,3,Firewall,TZ570,3,38496.35,115489.04
PO-2023-003465,2,Software License,Windows Server 2022,2,21289.78,42579.56
PO-2023-002118,2,Cable,Fiber Optic Cable SC-LC,1,231.3,231.3
PO-2023-003318,2,Warranty/Support,ProSupport Plus,1,35481.44,35481.44
PO-2023-000946,1,Router,ISR 4451,3,52441.15,157323.46
PO-2023-002525,1,Warranty/Support,3-Year Next Business Day,3,32376.86,97130.58
PO-2023-002185,1,Cable,Fiber Optic Cable SC-LC,1,233.18,233.18
PO-2023-000681,4,Storage Array,Pure FlashArray//X,3,144982.67,434948.01
PO-2023-000611,1,Server,ProLiant DL380 Gen10,3,8560.82,25682.45
PO-2023-002436,1,Cooling Unit,InRow RP 300mm,1,71905.07,71905.07
PO-2023-001828,5,Warranty/Support,3-Year Next Business Day,1,14237.07,14237.07
PO-2023-002615,4,Storage Array,NetApp FAS2750,1,466824.1,466824.1
PO-2023-001096,5,PDU,Monitored PDU,1,2396.88,2396.88
PO-2023-002742,2,Load Balancer,F5 BIG-IP 4200v,4,14469.53,57878.13
PO-2023-002307,4,Cable,Cat6 Ethernet Cable,2,240.28,480.56
PO-2023-002230,1,Software License,Windows Server 2022,1,29866.79,29866.79
PO-2023-000586,1,Network Switch,Nexus 9000,2,20322.01,40644.03
PO-2023-000624,2,Software License,Windows Server 2022,6,24737.08,148422.48
PO-2023-003152,6,PDU,Intelligent PDU,2,4236.63,8473.26
PO-2023-000757,3,Router,ISR 4451,3,39235.92,117707.76
PO-2023-000667,1,Network Switch,Nexus 9000,2,31966.0,63931.99
PO-2023-001551,10,Cable,HDMI Cable 2.1,3,492.12,1476.36
PO-2023-000552,1,Firewall,FortiGate 600E,3,78617.37,235852.11
PO-2023-000337,2,Storage Array,VMAX All Flash,2,85377.48,170754.97
PO-2023-002970,2,Storage Array,StorageGRID SG1000,2,368278.07,736556.13
PO-2023-000915,1,Firewall,PA-3220,1,51299.41,51299.41
PO-2023-002839,1,Cooling Unit,SmartCool Gen4,1,98834.2,98834.2
PO-2023-000749,3,Rack,Wall Mount 12U,2,1785.73,3571.46
PO-2023-001927,3,Optics/Transceivers,SFP28 25GBASE-SR,1,1071.5,1071.5
PO-2023-001371,21,Router,MX480,2,20918.48,41836.95
PO-2023-003201,2,Rack,Wall Mount 12U,3,4029.68,12089.04
PO-2023-002154,2,Cable,Cat6 Ethernet Cable,1,294.37,294.37
PO-2023-000246,4,Firewall,SRX4600,2,67759.26,135518.51
PO-2023-000930,2,Rack,SmartRack 25U,4,3546.62,14186.47
PO-2023-001956,4,Firewall,PA-3220,1,119120.19,119120.19
PO-2023-000372,1,Server,System x3650 M5,1,45907.81,45907.81
PO-2023-002885,1,Server,System x3650 M5,4,24180.11,96720.43
PO-2023-000810,2,UPS,PowerMax 2000,1,35282.77,35282.77
PO-2023-000735,5,Cooling Unit,InRow RP 300mm,1,96896.59,96896.59
PO-2023-002246,1,Cooling Unit,InRow RP 300mm,1,73519.05,73519.05
PO-2023-001067,2,Network Switch,Arista 7050X3,2,15775.55,31551.1
PO-2023-002792,7,Router,MX480,2,71281.38,142562.75
PO-2023-002142,1,Cooling Unit,SmartCool Gen4,5,16062.06,80310.3
PO-2023-001483,1,Optics/Transceivers,QSFP+ 40GBASE-LR4,1,1505.93,1505.93
PO-2023-000031,1,Warranty/Support,Extended Warranty,1,29518.38,29518.38
PO-2023-000641,3,Cable,Coaxial Cable RG6,3,448.51,1345.52
PO-2023-001115,4,Cooling Unit,CyberAir 3,4,61547.46,246189.84
PO-2023-002160,4,Firewall,SRX4600,2,84481.8,168963.6
PO-2023-000263,8,Optics/Transceivers,SFP+ 10GBASE-SR,4,2562.08,10248.33
PO-2023-002958,4,Load Balancer,A10 Thunder 3030S,1,32076.81,32076.81
PO-2023-000538,6,UPS,OnLine S3 15kVA,2,48020.89,96041.77
PO-2023-001252,1,Cable,HDMI Cable 2.1,5,250.9,1254.51
PO-2023-001155,4,Rack,Server Rack 48U,1,2333.68,2333.68
PO-2023-002308,6,Warranty/Support,5-Year 24x7x4,3,39774.79,119324.36
PO-2023-000926,2,Server,System x3650 M5,5,15199.13,75995.64
PO-2023-002631,4,Storage Array,Unity XT 480,1,461845.31,461845.31
PO-2023-002372,3,Network Switch,Catalyst 9300,2,57425.08,114850.16
PO-2023-000736,2,Cooling Unit,CoolIT Direct2Die,1,34149.35,34149.35
PO-2023-003100,1,Firewall,FortiGate 600E,2,78764.22,157528.44
PO-2023-002057,2,Router,ISR 4451,2,87581.71,175163.41
PO-2023-001057,2,Rack,Server Rack 48U,1,2618.07,2618.07
PO-2023-000655,1,UPS,Smart-UPS SRT 10000VA,2,43741.87,87483.74
PO-2023-001896,2,Software License,Citrix XenApp,4,11053.83,44215.3
PO-2023-001136,1,Warranty/Support,Extended Warranty,1,42969.19,42969.19
PO-2023-001217,2,Storage Array,StorageGRID SG1000,3,178190.44,534571.32
PO-2023-000427,1,Optics/Transceivers,SFP+ 10GBASE-SR,1,4199.44,4199.44
PO-2023-001581,5,Storage Array,NetApp FAS2750,5,119097.3,595486.48
PO-2023-000187,1,Cable,HDMI Cable 2.1,4,443.45,1773.78
PO-2023-000063,5,Firewall,PA-3220,2,121433.51,242867.02
PO-2023-003231,2,Cable,USB 3.0 Cable,2,187.73,375.45
PO-2023-003258,9,PDU,Monitored PDU,2,3302.1,6604.2
PO-2023-002226,3,Software License,Citrix XenApp,1,24593.17,24593.17
PO-2023-000275,1,Load Balancer,A10 Thunder 3030S,1,83417.08,83417.08
PO-2023-002111,1,Firewall,SRX4600,1,94018.17,94018.17
PO-2023-002288,2,Load Balancer,HAProxy Enterprise,1,30063.38,30063.38
PO-2023-002387,7,Rack,NetShelter SX 42U,2,2549.62,5099.23
PO-2023-000265,4,Rack,Colocation Rack 47U,3,3403.78,10211.35
PO-2023-001005,2,Cable,Power Cord C13-C14,1,405.06,405.06
PO-2023-001204,15,Warranty/Support,Hardware Replacement,1,17955.88,17955.88
PO-2023-001581,4,Cable,Coaxial Cable RG6,1,383.6,383.6
PO-2023-003007,2,Network Switch,PowerConnect 8024F,2,48685.81,97371.62
PO-2023-000321,1,Warranty/Support,Premium Support,1,38225.42,38225.42
PO-2023-001285,3,Optics/Transceivers,SFP+ 10GBASE-SR,3,3720.96,11162.88
PO-2023-002559,2,Network Switch,PowerConnect 8024F,2,58386.71,116773.41
PO-2023-000508,3,Optics/Transceivers,XFP 10GBASE-ER,1,1678.19,1678.19
PO-2023-002067,2,UPS,Galaxy 7000,1,49257.39,49257.39
PO-2023-001148,5,Cable,Power Cord C13-C14,5,269.05,1345.25
PO-2023-002675,5,Cable,Power Cord C13-C14,4,383.47,1533.87
PO-2023-002104,4,Warranty/Support,5-Year 24x7x4,14,19902.35,278632.95
PO-2023-002734,2,Software License,Windows Server 2022,1,99240.3,99240.3
PO-2023-001865,6,Rack,NetShelter SX 42U,5,2141.51,10707.55
PO-2023-000924,5,Firewall,ASA 5516-X,2,24109.6,48219.2
PO-2023-001733,7,Server,PowerEdge R740,1,6000.89,6000.89
PO-2023-002447,10,Cable,Coaxial Cable RG6,1,231.76,231.76
PO-2023-000810,5,Router,7206 VXR,1,37980.85,37980.85
PO-2023-001388,4,Storage Array,VMAX All Flash,2,36676.27,73352.53
PO-2023-000474,6,Cable,Cat6 Ethernet Cable,17,423.22,7194.71
PO-2023-003099,1,Storage Array,Unity XT 480,1,285867.83,285867.83
PO-2023-001295,8,Rack,Open Frame Rack 42U,2,4468.84,8937.69
PO-2023-000919,3,Software License,Citrix XenApp,3,29238.21,87714.62
PO-2023-002447,5,Server,UCS C220 M5,4,33250.66,133002.65
PO-2023-002408,10,Firewall,PA-3220,2,146649.25,293298.5
PO-2023-000720,1,Router,ASR 1001-X,2,73581.41,147162.82
PO-2023-002198,2,PDU,Basic Rack PDU,1,1743.42,1743.42
PO-2023-000112,3,Storage Array,3PAR 8450,3,196912.0,590735.99
PO-2023-003423,1,Load Balancer,HAProxy Enterprise,3,77975.37,233926.11
PO-2023-002301,1,UPS,RT 11000VA,8,12675.91,101407.26
PO-2023-002398,6,Cooling Unit,Stulz CyberAir,2,45685.2,91370.4
PO-2023-003074,1,Router,7206 VXR,1,69483.81,69483.81
PO-2023-002288,7,Network Switch,ProCurve 5406zl,2,16150.18,32300.37
PO-2023-003218,6,Optics/Transceivers,CFP 100GBASE-LR4,3,1248.45,3745.34
PO-2023-003377,6,Cable,USB 3.0 Cable,5,465.27,2326.35
PO-2023-002910,1,UPS,OnLine S3 15kVA,1,26928.76,26928.76
PO-2023-001057,4,Cable,Coaxial Cable RG6,1,452.41,452.41
PO-2023-000020,10,Storage Array,StorageGRID SG1000,2,68225.99,136451.99
PO-2023-001975,1,PDU,Metered Rack PDU,1,3352.3,3352.3
PO-2023-002699,1,Cooling Unit,CoolIT Direct2Die,1,80975.69,80975.69
PO-2023-003240,1,Cable,Fiber Optic Cable SC-LC,3,60.21,180.62
PO-2023-001532,5,Cooling Unit,CoolIT Direct2Die,6,53367.98,320207.86
PO-2023-000433,7,Cooling Unit,Liebert XD,3,56209.1,168627.31
PO-2023-001332,1,Storage Array,3PAR 8450,1,347945.36,347945.36
PO-2023-002063,1,Network Switch,Arista 7050X3,4,21659.33,86637.31
PO-2023-002996,3,Warranty/Support,Premium Support,1,21687.57,21687.57
PO-2023-001460,12,Rack,SmartRack 25U,2,4829.71,9659.42
PO-2023-002165,1,Load Balancer,Citrix ADC VPX,2,30330.05,60660.1
PO-2023-000507,3,Software License,Red Hat Enterprise Linux,3,535.52,1606.57
PO-2023-000326,1,Storage Array,NetApp FAS2750,1,322716.0,322716.0
PO-2023-000996,2,Router,ASR 1001-X,2,86353.57,172707.14
PO-2023-000822,4,PDU,Switched Rack PDU,1,3560.28,3560.28
PO-2023-001988,1,Firewall,pfSense SG-5100,1,38254.03,38254.03
PO-2023-000523,1,Cable,USB 3.0 Cable,2,84.99,169.98
PO-2023-000882,4,Server,ThinkSystem SR650,1,36529.6,36529.6
PO-2023-001517,1,Storage Array,NetApp FAS2750,2,172455.67,344911.34
PO-2023-002763,1,Firewall,FortiGate 600E,2,75101.31,150202.63
PO-2023-002348,2,Warranty/Support,5-Year 24x7x4,5,48384.14,241920.69
PO-2023-000206,1,Warranty/Support,3-Year Next Business Day,1,10848.44,10848.44
PO-2023-000931,1,Load Balancer,A10 Thunder 3030S,4,62367.43,249469.73
PO-2023-000286,2,Storage Array,3PAR 8450,4,355086.23,1420344.92
PO-2023-001258,10,PDU,Metered Rack PDU,6,4692.13,28152.76
PO-2023-001335,2,Cooling Unit,CoolIT Direct2Die,3,47034.7,141104.11
PO-2023-000747,2,Server,PowerEdge R750,2,49159.77,98319.55
PO-2023-001744,3,Rack,Colocation Rack 47U,1,2646.02,2646.02
PO-2023-000525,11,Cooling Unit,Liebert XD,1,67018.18,67018.18
PO-2023-000167,1,Software License,Windows Server 2022,3,86310.94,258932.83
PO-2023-002883,1,Warranty/Support,Premium Support,4,44363.57,177454.28
PO-2023-002668,3,UPS,Smart-UPS SRT 10000VA,5,42824.86,214124.32
PO-2023-003459,1,Network Switch,Catalyst 9300,2,52141.52,104283.05
PO-2023-003107,1,Optics/Transceivers,SFP+ 10GBASE-SR,1,954.84,954.84
PO-2023-001149,3,UPS,Galaxy 7000,3,24774.9,74324.71
PO-2023-001724,1,Cooling Unit,InRow RP 300mm,1,26168.95,26168.95
PO-2023-000060,7,Warranty/Support,Premium Support,2,27393.38,54786.75
PO-2023-001248,1,Firewall,FortiGate 600E,9,107730.26,969572.36
PO-2023-001585,1,Firewall,TZ570,3,29480.81,88442.43
PO-2023-002837,1,UPS,PowerMax 2000,4,26187.98,104751.91
PO-2023-003117,1,Cable,HDMI Cable 2.1,7,447.25,3130.74
PO-2023-000024,2,PDU,Zero U PDU,1,3919.8,3919.8
PO-2023-000468,1,Cable,Coaxial Cable RG6,1,163.51,163.51
PO-2023-000812,1,Server,PowerEdge R740,3,41537.4,124612.2
PO-2023-000933,1,Software License,VMware vSphere,1,68959.48,68959.48
PO-2023-002279,8,Warranty/Support,ProSupport Plus,3,12228.9,36686.69
PO-2023-002448,1,Rack,Server Rack 48U,1,2911.57,2911.57
PO-2023-003492,2,Router,ISR 4451,2,90318.08,180636.15
PO-2023-000223,1,Storage Array,VMAX All Flash,2,394291.35,788582.69
PO-2023-003058,9,Storage Array,Unity XT 480,1,397606.17,397606.17
PO-2023-002031,2,Warranty/Support,ProSupport Plus,8,20659.77,165278.19
PO-2023-002643,1,Network Switch,Juniper EX4650,1,18613.51,18613.51
PO-2023-001653,1,PDU,Zero U PDU,5,3380.01,16900.07
PO-2023-000429,7,Server,PowerEdge R740,1,47381.74,47381.74
PO-2023-001907,2,Optics/Transceivers,XFP 10GBASE-ER,1,3651.66,3651.66
PO-2023-001760,2,Optics/Transceivers,QSFP+ 40GBASE-LR4,1,1669.4,1669.4
PO-2023-003349,1,Optics/Transceivers,SFP28 25GBASE-SR,4,1426.0,5703.98
PO-2023-001917,2,Warranty/Support,Hardware Replacement,7,41117.66,287823.64
PO-2023-000007,1,Rack,NetShelter SX 42U,2,1959.15,3918.3
PO-2023-001060,1,UPS,Galaxy 7000,1,38384.01,38384.01
PO-2023-002557,3,Router,RTX1210,2,93925.99,187851.98
PO-2023-002286,4,Rack,Wall Mount 12U,8,1911.66,15293.27
PO-2023-000436,9,UPS,PowerMax 2000,1,5293.64,5293.64
PO-2023-003341,1,Optics/Transceivers,CFP 100GBASE-LR4,1,4751.37,4751.37
PO-2023-000132,2,Storage Array,StorageGRID SG1000,3,26368.59,79105.78
PO-2023-002686,3,Software License,Red Hat Enterprise Linux,5,66367.79,331838.95
PO-2023-003382,5,Warranty/Support,Extended Warranty,4,12859.82,51439.26
PO-2023-000534,4,Warranty/Support,5-Year 24x7x4,1,26617.41,26617.41
PO-2023-002012,6,PDU,Monitored PDU,1,790.52,790.52
PO-2023-003061,6,PDU,Monitored PDU,7,501.79,3512.54
PO-2023-002784,1,Software License,Citrix XenApp,1,8613.92,8613.92
PO-2023-000017,3,Load Balancer,Kemp LoadMaster LM-X15,7,11093.9,77657.32
PO-2023-000336,1,Router,7206 VXR,2,33205.09,66410.18
PO-2023-000946,2,Router,MX480,1,28411.26,28411.26
PO-2023-002955,5,UPS,Galaxy 7000,3,16439.35,49318.05
PO-2023-000302,2,Software License,Oracle Database,1,86636.08,86636.08
PO-2023-001514,2,Software License,Oracle Database,3,87989.29,263967.86
PO-2023-002447,11,UPS,PowerWave 9330,5,45911.31,229556.54
PO-2023-002966,5,Server,PowerEdge R740,3,29136.37,87409.1
PO-2023-001423,2,Router,MX480,2,22020.85,44041.71
PO-2023-001139,1,Optics/Transceivers,SFP+ 10GBASE-SR,1,1172.29,1172.29
PO-2023-002007,3,Firewall,SRX4600,4,88220.11,352880.45
PO-2023-000162,1,Cable,Cat6 Ethernet Cable,1,433.94,433.94
PO-2023-001495,2,Cable,HDMI Cable 2.1,1,121.07,121.07
PO-2023-001034,2,Cable,Coaxial Cable RG6,2,316.67,633.35
PO-2023-000453,2,Rack,NetShelter SX 42U,2,1249.79,2499.58
PO-2023-003079,1,PDU,Zero U PDU,5,2456.61,12283.05
PO-2023-001648,1,Server,PowerEdge R750,3,42995.78,128987.34
PO-2023-000734,7,Network Switch,Catalyst 9300,8,41622.47,332979.73
PO-2023-003043,4,Software License,VMware vSphere,2,8460.22,16920.44
PO-2023-002971,2,Warranty/Support,5-Year 24x7x4,4,1937.74,7750.95
PO-2023-000796,2,Cooling Unit,SmartCool Gen4,2,87546.93,175093.87
PO-2023-002085,1,Load Balancer,A10 Thunder 3030S,1,84719.91,84719.91
PO-2023-001852,2,Software License,Microsoft SQL Server,4,65262.03,261048.11
PO-2023-002141,11,Warranty/Support,5-Year 24x7x4,4,40707.78,162831.12
PO-2023-001380,5,Server,PowerEdge R750,4,23095.33,92381.3
PO-2023-001637,4,Server,System x3650 M5,5,31080.29,155401.43
PO-2023-003024,9,Load Balancer,HAProxy Enterprise,1,94629.14,94629.14
PO-2023-001110,1,Cooling Unit,Liebert XD,3,99821.85,299465.54
PO-2023-000078,5,Software License,Windows Server 2022,1,34233.28,34233.28
PO-2023-000363,3,Optics/Transceivers,XFP 10GBASE-ER,4,2040.67,8162.67
PO-2023-002537,3,Warranty/Support,5-Year 24x7x4,5,16788.04,83940.21
PO-2023-003159,5,Rack,SmartRack 25U,2,4164.37,8328.73
PO-2023-001354,1,Firewall,ASA 5516-X,2,6544.42,13088.83
PO-2023-001956,5,Cooling Unit,InRow RP 300mm,5,95817.27,479086.37
PO-2023-003345,3,Rack,Wall Mount 12U,1,4429.67,4429.67
PO-2023-003242,5,Firewall,SRX4600,2,49421.67,98843.34
PO-2023-000557,2,UPS,Galaxy 7000,1,6955.53,6955.53
PO-2023-000065,6,Storage Array,NetApp FAS2750,2,437729.87,875459.74
PO-2023-002791,2,Warranty/Support,Hardware Replacement,1,19783.94,19783.94
PO-2023-000290,8,Load Balancer,HAProxy Enterprise,3,46965.84,140897.52
PO-2023-001116,7,PDU,Metered Rack PDU,1,965.9,965.9
PO-2023-001942,3,UPS,Galaxy 7000,6,28312.16,169872.96
PO-2023-002862,2,Optics/Transceivers,QSFP+ 40GBASE-LR4,5,1319.17,6595.84
PO-2023-003165,1,Load Balancer,Kemp LoadMaster LM-X15,3,34120.93,102362.78
PO-2023-002965,2,Network Switch,Nexus 9000,9,11379.69,102417.23
PO-2023-002582,5,Storage Array,3PAR 8450,2,481036.0,962072.01
PO-2023-000508,12,Warranty/Support,Hardware Replacement,4,18166.54,72666.18
PO-2023-002868,2,Router,ASR 1001-X,1,74704.2,74704.2
PO-2023-001672,16,Firewall,SRX4600,3,93651.31,280953.94
PO-2023-000997,6,Rack,Colocation Rack 47U,5,2580.23,12901.14
PO-2023-002339,2,Warranty/Support,Hardware Replacement,1,41950.54,41950.54
PO-2023-002556,2,Rack,Colocation Rack 47U,2,4143.33,8286.66
PO-2023-002410,2,Firewall,SRX4600,2,76222.09,152444.19
PO-2023-001234,1,Storage Array,Pure FlashArray//X,1,251415.4,251415.4
PO-2023-003099,3,Optics/Transceivers,SFP 1000BASE-T,2,3576.13,7152.25
PO-2023-003131,7,Router,RTX1210,2,5727.65,11455.3
PO-2023-003240,4,Cable,Cat6 Ethernet Cable,1,10.74,10.74
PO-2023-001430,2,Optics/Transceivers,CFP 100GBASE-LR4,1,3911.37,3911.37
PO-2023-002045,6,Software License,Red Hat Enterprise Linux,1,80798.62,80798.62
PO-2023-001631,4,Rack,Wall Mount 12U,7,1965.44,13758.1
PO-2023-001466,1,Server,ThinkSystem SR650,2,35426.74,70853.47
PO-2023-002696,4,Cable,Power Cord C13-C14,1,186.09,186.09
PO-2023-001393,2,Storage Array,StorageGRID SG1000,4,269399.81,1077599.24
PO-2023-000920,1,PDU,Monitored PDU,3,2966.15,8898.45
PO-2023-002337,2,Cooling Unit,Stulz CyberAir,1,55516.39,55516.39
PO-2023-002964,1,Network Switch,ProCurve 5406zl,2,55561.5,111123.01
PO-2023-003049,1,Firewall,FortiGate 600E,2,109754.73,219509.46
PO-2023-001166,1,Cable,HDMI Cable 2.1,3,104.35,313.05
PO-2023-003220,4,UPS,OnLine S3 15kVA,2,7807.12,15614.24
PO-2023-000714,1,Router,SRX5800,2,5114.34,10228.69
PO-2023-000264,2,UPS,PowerWave 9330,1,16741.34,16741.34
PO-2023-002586,2,PDU,Switched Rack PDU,1,4757.53,4757.53
PO-2023-003390,1,Optics/Transceivers,QSFP+ 40GBASE-LR4,2,3001.85,6003.7
